No.,2É∆(deg),ESD,êœï™ã≠ìx(cps•deg),ESD,ëäëŒêœï™ã≠ìx
1,37.9825,0.00868933,518.05,5.05987,100.00
2,44.1553,0.0206234,241.72,3.8722,46.66
3,64.4083,0.0128802,271.40,3.73194,52.39
4,77.2095,0.0184846,313.40,4.38319,60.50
5,81.4770,0.0506553,82.81,2.80139,15.99
6,97.8411,0.0808124,40.56,1.86276,7.83
7,110.5203,0.0330248,205.71,4.12527,39.71
8,114.8369,0.0852242,216.93,4.20094,41.87
